	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris	Right Biceps Femoris
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
64	5.3	6.1	6.2	8.5	6.6	5.3	5.9	4.9	5.2	4.4	5.9	3.3
65	5.3	6.0	6.4	8.9	6.9	5.7	9.3	5.1	5.2	4.8	6.7	5.2
66	5.7	6.8	6.0	9.3	6.7	7.1	9.6	5.4	5.2	5.1	7.0	5.7
67	5.2	7.1	8.4	9.2	5.9	7.7	10.4	5.7	5.2	5.5	6.9	5.6
68	5.8	7.5	7.7	9.3	5.4	7.7	10.6	5.6	4.9	5.8	7.0	5.9
69	5.8	7.4	7.4	9.6	4.5	7.4	10.0	6.6	5.3	5.8	6.1	8.3
70	5.9	7.8	7.4	8.7	4.3	7.6	9.2	6.1	5.2	5.8	5.6	7.5
71	5.8	8.0	7.5	7.8	4.1	8.1	6.5	5.9	5.3	5.7	3.7	7.3
72	5.8	7.2	6.8	6.9	4.1	7.5	6.2	5.9	4.7	5.1	3.6	7.1
73	6.0	6.4	3.8	6.2	4.1	6.8	4.0	5.7	4.7	4.8	3.7	7.4
74	6.4	6.0	3.6	5.5	4.7	6.9	3.7	5.7	4.1	5.0	4.4	6.2
75	6.5	5.6	3.4	4.7	4.7	7.0	3.9	6.5	3.8	5.3	4.5	4.8
76	6.3	3.9	3.0	3.6	5.4	6.7	4.3	6.5	4.1	6.1	4.4	4.8
77	6.2	5.7	2.9	3.6	5.4	5.2	4.4	18.4	3.8	8.6	4.2	6.4
78	6.1	5.5	2.9	3.7	5.4	5.2	5.7	19.7	3.6	11.0	4.3	8.6
79	5.2	6.3	3.7	2.6	6.0	5.4	6.0	19.9	4.3	12.0	4.4	9.5
80	3.6	6.4	3.9	2.8	6.2	5.6	6.9	19.6	4.5	11.8	4.5	11.5
81	3.5	6.2	4.2	3.9	6.3	6.5	8.6	19.7	4.3	12.8	4.8	11.7
82	3.8	6.0	5.2	3.8	8.1	7.3	9.9	10.3	4.9	12.4	4.9	12.0
83	4.1	4.4	5.1	4.1	8.2	7.3	9.9	7.8	4.9	11.1	5.1	10.0
84	4.4	3.9	5.1	4.0	8.5	7.2	9.2	7.4	5.3	9.7	4.6	10.1
85	4.7	2.9	5.3	3.9	9.5	6.7	9.1	7.6	6.4	8.9	4.3	6.7
86	4.6	3.3	5.0	4.2	9.9	6.1	7.6	6.4	6.4	7.5	3.7	6.4
87	4.9	3.6	4.3	3.9	10.8	5.1	5.9	6.3	6.4	6.6	3.9	5.7
88	4.9	3.3	3.8	4.3	9.5	4.0	4.4	5.2	6.3	4.9	3.7	5.9
89	5.7	3.0	3.3	4.2	9.5	3.9	6.1	5.1	6.3	5.5	3.5	4.6
90	5.7	3.4	3.2	4.5	9.4	3.8	6.2	3.5	4.5	5.6	3.9	4.7
91	5.6	3.6	3.7	4.5	7.3	4.5	6.5	3.2	4.7	5.4	3.9	4.5
92	6.9	3.0	4.0	4.7	7.0	6.0	6.8	3.0	4.5	6.5	4.6	4.6
93	7.3	3.5	3.9	4.7	5.4	5.9	6.7	3.9	4.6	6.6	4.4	4.0
94	7.4	4.1	4.3	4.6	5.1	6.7	5.8	4.1	3.9	6.8	4.6	3.8
95	6.9	4.5	4.6	5.3	5.4	6.8	5.3	4.1	4.7	6.0	4.1	4.0
96	6.9	3.9	5.1	5.5	5.5	6.8	5.8	4.6	4.4	5.9	4.5	4.0
97	6.8	4.2	5.4	6.0	5.6	6.5	6.0	7.8	5.1	5.0	4.6	4.3
98	5.4	4.3	9.1	6.1	5.1	5.8	7.2	10.3	6.2	6.2	5.0	4.2
99	8.3	4.1	12.5	6.3	6.2	5.5	7.5	10.2	8.6	5.7	8.3	4.8
100	8.5	5.1	13.7	6.3	6.2	6.4	10.9	10.3	10.7	7.1	8.5	5.4
101	9.3	4.9	14.5	5.4	5.8	7.2	11.5	11.1	10.7	7.4	9.2	6.5
