	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC
	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
62	0.1807	0.1747	0.1822	0.1919	0.1997	0.2069	0.1955	0.1995	0.1917	0.1861	0.1810	0.0443
63	0.1934	0.1872	0.1959	0.2053	0.2124	0.2210	0.2092	0.2127	0.2051	0.1998	0.1947	0.0443
64	0.2071	0.2000	0.2100	0.2192	0.2253	0.2344	0.2234	0.2262	0.2187	0.2139	0.2091	0.0443
65	0.2213	0.2136	0.2246	0.2329	0.2378	0.2457	0.2371	0.2389	0.2322	0.2280	0.2237	0.0443
66	0.2356	0.2273	0.2384	0.2447	0.2484	0.2545	0.2488	0.2495	0.2441	0.2404	0.2373	0.0443
67	0.2483	0.2397	0.2502	0.2543	0.2567	0.2611	0.2582	0.2579	0.2536	0.2504	0.2486	0.0443
68	0.2588	0.2499	0.2598	0.2613	0.2627	0.2655	0.2652	0.2640	0.2607	0.2578	0.2573	0.0443
69	0.2667	0.2576	0.2670	0.2660	0.2663	0.2679	0.2699	0.2681	0.2654	0.2628	0.2633	0.0443
70	0.2723	0.2628	0.2720	0.2686	0.2680	0.2687	0.2728	0.2703	0.2679	0.2655	0.2668	0.0443
71	0.2757	0.2659	0.2747	0.2693	0.2677	0.2675	0.2739	0.2708	0.2683	0.2663	0.2680	0.0443
