	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles	Left Thorax_Lab Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
67	4.3	3.8	6.7	5.2	4.4	5.0	4.9	4.8	4.6	4.6	4.1	0.6
68	4.3	3.8	6.7	5.2	4.3	5.0	4.9	4.8	4.6	4.6	4.1	0.6
69	4.3	3.8	6.7	5.1	4.2	5.1	4.9	4.9	4.6	4.6	4.1	0.6
70	4.3	3.8	6.7	5.0	4.1	5.1	4.9	5.0	4.6	4.6	4.2	0.6
71	4.4	3.8	6.7	5.0	3.9	5.2	5.0	5.1	4.6	4.6	4.2	0.6
72	4.4	3.8	6.7	4.9	3.8	5.2	5.0	5.1	4.6	4.6	4.3	0.6
73	4.4	3.8	6.6	4.8	3.7	5.2	5.0	5.2	4.5	4.6	4.3	0.6
74	4.3	3.8	6.6	4.7	3.6	5.1	5.0	5.2	4.5	4.6	4.4	0.6
75	4.3	3.8	6.5	4.6	3.4	5.1	5.1	5.2	4.4	4.5	4.4	0.6
76	4.3	3.7	6.4	4.5	3.4	5.1	5.1	5.1	4.4	4.5	4.4	0.6
77	4.2	3.6	6.3	4.4	3.3	5.0	5.1	5.0	4.3	4.4	4.3	0.6
78	4.1	3.6	6.2	4.3	3.2	4.9	5.1	4.9	4.2	4.2	4.3	0.6
79	4.0	3.5	6.1	4.1	3.1	4.8	5.1	4.8	4.1	4.1	4.2	0.6
80	3.9	3.4	6.0	4.0	3.0	4.7	5.1	4.7	3.9	3.9	4.1	0.6
81	3.8	3.3	5.8	3.9	3.0	4.5	5.0	4.6	3.8	3.7	4.0	0.6
82	3.7	3.2	5.7	3.7	2.9	4.4	4.9	4.5	3.6	3.5	3.9	0.6
83	3.5	3.1	5.5	3.6	2.8	4.3	4.8	4.3	3.5	3.3	3.8	0.6
84	3.4	3.0	5.4	3.4	2.7	4.1	4.7	4.1	3.3	3.1	3.6	0.7
85	3.3	2.9	5.2	3.2	2.6	4.0	4.6	4.0	3.1	2.9	3.5	0.7
86	3.1	2.8	5.0	3.1	2.6	3.8	4.5	3.8	3.0	2.7	3.3	0.7
87	3.0	2.7	4.9	2.9	2.5	3.7	4.4	3.7	2.8	2.5	3.1	0.7
88	2.8	2.6	4.7	2.7	2.4	3.5	4.3	3.5	2.7	2.2	2.9	0.7
89	2.6	2.5	4.5	2.5	2.4	3.4	4.2	3.3	2.6	2.0	2.8	0.7
90	2.5	2.4	4.3	2.3	2.3	3.2	4.1	3.1	2.4	1.8	2.6	0.7
91	2.3	2.2	4.1	2.2	2.3	3.1	4.0	3.0	2.3	1.6	2.4	0.7
92	2.1	2.1	4.0	2.0	2.2	2.9	3.9	2.8	2.1	1.3	2.2	0.7
93	1.9	2.0	3.8	1.8	2.1	2.7	3.7	2.6	1.9	1.1	2.0	0.7
94	1.6	1.9	3.6	1.6	2.0	2.5	3.6	2.4	1.7	0.8	1.8	0.7
95	1.4	1.7	3.4	1.5	1.9	2.3	3.4	2.1	1.5	0.5	1.6	0.7
96	1.1	1.5	3.2	1.3	1.8	2.1	3.2	1.9	1.2	0.2	1.3	0.7
97	0.8	1.3	2.9	1.1	1.6	1.9	3.0	1.6	0.9	-0.1	1.0	0.7
98	0.5	1.1	2.7	0.9	1.4	1.7	2.8	1.3	0.7	-0.4	0.8	0.7
99	0.2	0.9	2.4	0.7	1.2	1.4	2.6	1.0	0.4	-0.7	0.5	0.7
100	-0.1	0.7	2.2	0.5	1.0	1.2	2.4	0.8	0.1	-1.1	0.2	0.7
101	-0.3	0.5	1.9	0.3	0.9	1.0	2.2	0.5	-0.1	-1.4	-0.1	0.7
