	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
63	6.6	6.7	5.9	6.5	7.2	7.8	7.3	5.9	5.6	6.1	4.4	6.6	4.8	5.5
64	6.7	6.6	5.9	6.3	7.1	7.8	6.9	5.8	5.6	6.0	4.3	6.6	4.8	5.5
65	6.8	6.6	5.8	6.3	7.1	7.8	6.6	5.8	5.6	6.1	4.3	6.6	4.9	5.5
66	6.8	6.6	5.9	6.2	7.0	7.8	6.4	5.8	5.7	6.3	4.3	6.6	5.0	5.5
67	6.8	6.6	5.9	6.1	6.9	7.7	6.2	6.0	5.8	6.5	4.4	6.6	5.1	5.5
68	6.8	6.5	6.0	6.1	6.7	7.6	6.0	6.1	5.8	6.7	4.4	6.6	5.2	5.5
69	6.6	6.5	6.0	6.0	6.4	7.4	5.8	6.1	5.9	6.9	4.4	6.6	5.2	5.5
70	6.4	6.4	6.0	5.8	6.2	7.2	5.6	6.0	5.9	6.9	4.4	6.4	5.1	5.5
71	6.1	6.3	6.0	5.6	5.9	6.9	5.4	5.9	5.9	6.9	4.2	6.2	4.9	5.5
72	5.7	6.2	5.8	5.3	5.5	6.6	5.1	5.6	5.7	6.7	4.0	5.8	4.6	5.5
73	5.3	5.9	5.6	4.9	5.1	6.2	4.8	5.2	5.5	6.3	3.7	5.3	4.2	5.5
74	4.9	5.6	5.4	4.5	4.7	5.8	4.4	4.8	5.1	5.8	3.3	4.7	3.6	5.5
75	4.4	5.2	5.1	4.0	4.3	5.3	4.0	4.2	4.7	5.2	2.8	4.0	3.0	5.5
76	4.0	4.8	4.7	3.6	3.8	4.8	3.5	3.6	4.2	4.6	2.3	3.2	2.4	5.5
77	3.5	4.4	4.4	3.1	3.4	4.3	3.0	3.0	3.7	3.9	1.7	2.5	1.7	5.5
78	3.1	4.0	4.0	2.7	3.0	3.8	2.6	2.3	3.2	3.3	1.2	1.7	1.1	5.5
79	2.7	3.6	3.6	2.3	2.6	3.3	2.1	1.7	2.8	2.7	0.8	1.0	0.6	5.5
80	2.4	3.2	3.2	2.0	2.3	2.9	1.7	1.2	2.4	2.1	0.4	0.3	0.1	5.5
81	2.1	2.8	2.9	1.6	1.9	2.4	1.3	0.7	2.1	1.6	0.0	-0.3	-0.3	5.5
82	1.8	2.4	2.6	1.4	1.6	2.0	1.0	0.2	1.8	1.2	-0.3	-0.9	-0.7	5.5
83	1.6	2.1	2.3	1.1	1.3	1.6	0.6	-0.2	1.5	0.8	-0.5	-1.4	-1.0	5.5
84	1.4	1.8	2.1	0.8	1.0	1.2	0.3	-0.6	1.2	0.5	-0.8	-1.9	-1.4	5.5
85	1.2	1.5	1.9	0.6	0.8	0.9	-0.0	-1.0	1.0	0.1	-1.1	-2.3	-1.6	5.5
86	1.1	1.3	1.8	0.4	0.6	0.6	-0.3	-1.3	0.8	-0.2	-1.4	-2.5	-1.9	5.5
87	1.0	1.0	1.6	0.2	0.4	0.3	-0.6	-1.5	0.5	-0.5	-1.7	-2.7	-2.0	5.5
88	0.8	0.8	1.5	-0.0	0.3	0.1	-0.9	-1.8	0.3	-0.8	-2.0	-2.8	-2.2	5.5
89	0.7	0.6	1.3	-0.2	0.2	-0.0	-1.1	-2.0	0.0	-1.0	-2.3	-2.9	-2.3	5.5
90	0.6	0.4	1.1	-0.3	0.1	-0.2	-1.3	-2.2	-0.2	-1.2	-2.5	-2.8	-2.3	5.5
91	0.5	0.2	0.9	-0.5	0.0	-0.3	-1.5	-2.4	-0.4	-1.3	-2.7	-2.7	-2.4	5.5
92	0.3	0.1	0.6	-0.6	-0.0	-0.4	-1.6	-2.5	-0.7	-1.3	-2.8	-2.5	-2.5	5.5
93	0.2	-0.0	0.4	-0.6	-0.1	-0.5	-1.7	-2.6	-0.9	-1.3	-2.9	-2.3	-2.6	5.5
94	0.1	-0.2	0.1	-0.7	-0.2	-0.6	-1.8	-2.7	-1.1	-1.2	-3.0	-2.1	-2.6	5.4
95	0.0	-0.3	-0.1	-0.7	-0.2	-0.7	-1.9	-2.8	-1.3	-1.1	-3.0	-1.9	-2.6	5.4
96	-0.1	-0.4	-0.3	-0.7	-0.3	-0.8	-1.9	-2.8	-1.6	-1.0	-3.0	-1.8	-2.6	5.4
97	-0.1	-0.5	-0.6	-0.7	-0.4	-1.0	-1.9	-2.8	-1.9	-0.9	-3.0	-1.6	-2.5	5.4
98	-0.2	-0.7	-0.8	-0.8	-0.4	-1.1	-1.8	-2.8	-2.1	-0.8	-3.0	-1.5	-2.5	5.4
99	-0.3	-0.8	-1.0	-0.8	-0.4	-1.3	-1.8	-2.9	-2.4	-0.8	-3.0	-1.5	-2.4	5.4
100	-0.4	-0.9	-1.2	-0.8	-0.4	-1.5	-1.7	-2.9	-2.6	-0.8	-3.0	-1.6	-2.4	5.4
101	-0.5	-1.0	-1.3	-0.9	-0.4	-1.6	-1.7	-2.9	-2.8	-0.8	-3.1	-1.7	-2.4	5.4
