	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
65	-64.7	-65.8	-71.3	-71.6	-72.9	-73.2	-72.0	-68.5	-75.5	-69.9	-66.9	-0.0
66	-68.6	-70.1	-76.1	-74.4	-74.6	-73.7	-74.4	-69.5	-78.3	-72.5	-70.5	-0.0
67	-70.9	-72.9	-79.5	-75.6	-75.0	-73.0	-75.2	-69.3	-79.3	-73.5	-72.2	-0.0
68	-71.6	-74.2	-81.3	-75.3	-74.3	-71.3	-74.8	-68.3	-78.7	-73.0	-72.1	-0.0
69	-71.1	-74.0	-81.6	-73.8	-72.6	-69.1	-73.4	-66.8	-76.8	-71.4	-70.5	-0.0
70	-69.6	-72.7	-80.4	-71.5	-70.4	-66.6	-71.5	-65.1	-74.0	-69.3	-68.0	-0.0
71	-67.7	-70.7	-78.1	-68.7	-67.7	-63.8	-69.3	-63.0	-70.9	-66.8	-65.1	-0.0
72	-65.5	-68.3	-74.8	-65.6	-64.8	-61.0	-66.9	-60.7	-67.5	-64.0	-62.0	-0.0
73	-63.2	-65.6	-70.9	-62.3	-61.8	-58.0	-64.4	-58.2	-64.0	-61.0	-58.8	-0.0
74	-60.8	-62.7	-66.6	-58.9	-58.5	-54.9	-61.5	-55.4	-60.5	-57.6	-55.6	-0.0
75	-58.1	-59.6	-62.1	-55.2	-55.1	-51.6	-58.4	-52.2	-56.9	-54.0	-52.1	-0.0
76	-55.2	-56.3	-57.4	-51.4	-51.4	-48.0	-54.9	-48.8	-53.0	-50.1	-48.3	-0.0
77	-52.0	-52.8	-52.6	-47.3	-47.5	-44.1	-51.1	-45.0	-49.0	-46.0	-44.3	-0.0
78	-48.4	-49.0	-47.7	-43.0	-43.3	-39.9	-47.0	-41.0	-44.6	-41.7	-40.0	-0.0
79	-44.4	-45.0	-42.8	-38.5	-39.0	-35.5	-42.6	-36.6	-40.1	-37.3	-35.5	-0.0
